Student ID,Student Country,Question ID,Type of Answer,Question Level,Topic,Subtopic,Keywords
853,Italy,90,1,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
853,Italy,90,1,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
988,Portugal,91,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
988,Portugal,91,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
855,Italy,91,0,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
855,Italy,91,0,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
414,Portugal,91,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
414,Portugal,91,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
852,Italy,91,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
852,Italy,91,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
351,Portugal,102,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
351,Portugal,102,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
510,Portugal,102,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
510,Portugal,102,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
525,Portugal,102,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
525,Portugal,102,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,102,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,102,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,102,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,102,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,102,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,102,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
524,Portugal,104,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
524,Portugal,104,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
524,Portugal,104,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,104,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,104,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,104,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,104,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,108,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,108,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,108,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
204,Lithuania,108,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
204,Lithuania,108,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
525,Portugal,112,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
525,Portugal,112,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,112,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,112,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,112,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
510,Portugal,113,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
510,Portugal,113,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,113,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,113,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,113,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,113,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,113,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,113,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,113,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,114,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,114,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,114,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,117,0,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,117,0,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
351,Portugal,118,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
351,Portugal,118,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
524,Portugal,118,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
524,Portugal,118,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,118,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,118,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,118,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
525,Portugal,120,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
525,Portugal,120,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,120,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,120,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,120,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,120,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,120,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
151,Portugal,120,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,120,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
625,Russian Federation,120,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",Simplify expressions
411,Portugal,123,0,Basic,Linear Algebra,Matrices and Determinants,Inverse matrix  Commuting matrices Solve matrix equation Matrix operations Matrix rank Determinant computation Matrix multiplication Determinant properties Symmetric matrix
411,Portugal,123,0,Basic,Linear Algebra,Matrices and Determinants,Inverse matrix  Commuting matrices Solve matrix equation Matrix operations Matrix rank Determinant computation Matrix multiplication Determinant properties Symmetric matrix
311,Ireland,125,0,Basic,Linear Algebra,Matrices and Determinants,Determinant properties Symmetric matrix Inverse matrix  Commuting matrices Solve matrix equation Matrix operations Matrix rank Determinant computation Matrix multiplication
311,Ireland,125,0,Basic,Linear Algebra,Matrices and Determinants,Determinant properties Symmetric matrix Inverse matrix  Commuting matrices Solve matrix equation Matrix operations Matrix rank Determinant computation Matrix multiplication
411,Portugal,127,0,Basic,Linear Algebra,Matrices and Determinants,Matrix multiplication Determinant computation Determinant properties Symmetric matrix Inverse matrix  Linearly independent rows Commuting matrices Solve matrix equation Matrix operations Matrix rank
411,Portugal,127,0,Basic,Linear Algebra,Matrices and Determinants,Matrix multiplication Determinant computation Determinant properties Symmetric matrix Inverse matrix  Linearly independent rows Commuting matrices Solve matrix equation Matrix operations Matrix rank
311,Ireland,127,1,Basic,Linear Algebra,Matrices and Determinants,Matrix multiplication Determinant computation Determinant properties Symmetric matrix Inverse matrix  Linearly independent rows Commuting matrices Solve matrix equation Matrix operations Matrix rank
311,Ireland,127,1,Basic,Linear Algebra,Matrices and Determinants,Matrix multiplication Determinant computation Determinant properties Symmetric matrix Inverse matrix  Linearly independent rows Commuting matrices Solve matrix equation Matrix operations Matrix rank
422,Portugal,130,1,Basic,Linear Algebra,Matrices and Determinants,Determinant computation Determinant properties Inverse matrix  Matrix operations
422,Portugal,130,1,Basic,Linear Algebra,Matrices and Determinants,Determinant computation Determinant properties Inverse matrix  Matrix operations
311,Ireland,131,0,Basic,Linear Algebra,Matrices and Determinants,Determinant computation Determinant properties Inverse matrix  Matrix operations
311,Ireland,131,0,Basic,Linear Algebra,Matrices and Determinants,Determinant computation Determinant properties Inverse matrix  Matrix operations
311,Ireland,131,0,Basic,Linear Algebra,Matrices and Determinants,Determinant computation Determinant properties Inverse matrix  Matrix operations
311,Ireland,134,1,Basic,Linear Algebra,Matrices and Determinants,Determinant computation Determinant properties
311,Ireland,134,1,Basic,Linear Algebra,Matrices and Determinants,Determinant computation Determinant properties
311,Ireland,138,0,Basic,Linear Algebra,Matrices and Determinants,Matrix operations Determinant computation Determinant properties Inverse matrix 
311,Ireland,138,0,Basic,Linear Algebra,Matrices and Determinants,Matrix operations Determinant computation Determinant properties Inverse matrix 
311,Ireland,138,0,Basic,Linear Algebra,Matrices and Determinants,Matrix operations Determinant computation Determinant properties Inverse matrix 
509,Portugal,141,1,Basic,Linear Algebra,Matrices and Determinants,Matrix operations Matrix multiplication
509,Portugal,141,1,Basic,Linear Algebra,Matrices and Determinants,Matrix operations Matrix multiplication
411,Portugal,141,0,Basic,Linear Algebra,Matrices and Determinants,Matrix operations Matrix multiplication
411,Portugal,141,0,Basic,Linear Algebra,Matrices and Determinants,Matrix operations Matrix multiplication
37,Portugal,142,1,Basic,Differentiation,Derivatives,Trigonometric rules Product rule
37,Portugal,142,1,Basic,Differentiation,Derivatives,Trigonometric rules Product rule
349,Portugal,144,1,Basic,Differentiation,Derivatives,Trigonometric rules
349,Portugal,144,1,Basic,Differentiation,Derivatives,Trigonometric rules
552,Portugal,146,0,Basic,Differential Equations,Differential Equations,Separable variables equation
552,Portugal,146,0,Basic,Differential Equations,Differential Equations,Separable variables equation
26,Portugal,146,1,Basic,Differential Equations,Differential Equations,Separable variables equation
26,Portugal,146,1,Basic,Differential Equations,Differential Equations,Separable variables equation
349,Portugal,147,0,Basic,Differentiation,Derivatives,Product rule Trigonometric rules Logarithmic rule
349,Portugal,147,0,Basic,Differentiation,Derivatives,Product rule Trigonometric rules Logarithmic rule
71,Portugal,147,1,Basic,Differentiation,Derivatives,Product rule Trigonometric rules Logarithmic rule
71,Portugal,147,1,Basic,Differentiation,Derivatives,Product rule Trigonometric rules Logarithmic rule
178,Italy,147,0,Basic,Differentiation,Derivatives,Product rule Trigonometric rules Logarithmic rule
178,Italy,147,0,Basic,Differentiation,Derivatives,Product rule Trigonometric rules Logarithmic rule
1049,Lithuania,148,0,Basic,Differentiation,Partial Differentiation,First order
1049,Lithuania,148,0,Basic,Differentiation,Partial Differentiation,First order
1044,Lithuania,148,1,Basic,Differentiation,Partial Differentiation,First order
1044,Lithuania,148,1,Basic,Differentiation,Partial Differentiation,First order
1044,Lithuania,148,1,Basic,Differentiation,Partial Differentiation,First order
851,Italy,155,0,Basic,Optimization,Nonlinear Optimization,Lagrange multipliers Maximum Minimum
851,Italy,155,0,Basic,Optimization,Nonlinear Optimization,Lagrange multipliers Maximum Minimum
155,Spain,165,0,Basic,Differential Equations,Differential Equations,Linear differential equation Homogeneous equation
155,Spain,165,0,Basic,Differential Equations,Differential Equations,Linear differential equation Homogeneous equation
155,Spain,169,1,Basic,Differential Equations,Differential Equations,Linear differential equation
155,Spain,169,1,Basic,Differential Equations,Differential Equations,Linear differential equation
700,Portugal,177,0,Basic,Statistics,Statistics,Sample Population Mean Variance Standard deviation Median Mode Quantile
700,Portugal,177,0,Basic,Statistics,Statistics,Sample Population Mean Variance Standard deviation Median Mode Quantile
57,Portugal,184,1,Basic,Statistics,Statistics,Frequency Sample Stem and Leaf diagram Variance Standard deviation Relative frequency
57,Portugal,184,1,Basic,Statistics,Statistics,Frequency Sample Stem and Leaf diagram Variance Standard deviation Relative frequency
57,Portugal,184,1,Basic,Statistics,Statistics,Frequency Sample Stem and Leaf diagram Variance Standard deviation Relative frequency
57,Portugal,186,0,Basic,Statistics,Statistics,Population Sample
57,Portugal,186,0,Basic,Statistics,Statistics,Population Sample
700,Portugal,190,0,Basic,Statistics,Statistics,Frequency Mode Quantile Population Data type Sample Relative frequency Mean Standard deviation Variance Median
700,Portugal,190,0,Basic,Statistics,Statistics,Frequency Mode Quantile Population Data type Sample Relative frequency Mean Standard deviation Variance Median
37,Portugal,192,0,Basic,Integration,Integration Techniques,Trigonometric substitution Simple integration
37,Portugal,192,0,Basic,Integration,Integration Techniques,Trigonometric substitution Simple integration
913,Ireland,193,1,Basic,Statistics,Statistics,Standard deviation Variance Median Frequency Mode Outliers Quantile Interquartile range Population Data type Sample Relative frequency Mean
913,Ireland,193,1,Basic,Statistics,Statistics,Standard deviation Variance Median Frequency Mode Outliers Quantile Interquartile range Population Data type Sample Relative frequency Mean
700,Portugal,193,1,Basic,Statistics,Statistics,Standard deviation Variance Median Frequency Mode Outliers Quantile Interquartile range Population Data type Sample Relative frequency Mean
700,Portugal,193,1,Basic,Statistics,Statistics,Standard deviation Variance Median Frequency Mode Outliers Quantile Interquartile range Population Data type Sample Relative frequency Mean
854,Italy,215,0,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
854,Italy,215,0,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
80,Lithuania,215,1,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
80,Lithuania,215,1,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
852,Italy,215,0,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
852,Italy,215,0,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
852,Italy,215,0,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
852,Italy,215,0,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
853,Italy,215,0,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
853,Italy,215,0,Basic,Linear Algebra,Linear Systems,Undetermined solution of linear system Consistent system Inconsistent system Solution of linear system
855,Italy,217,1,Basic,Linear Algebra,Linear Systems,Solution of linear system Undetermined solution of linear system Consistent system Square linear system Inconsistent system
855,Italy,217,1,Basic,Linear Algebra,Linear Systems,Solution of linear system Undetermined solution of linear system Consistent system Square linear system Inconsistent system
26,Portugal,217,1,Basic,Linear Algebra,Linear Systems,Solution of linear system Undetermined solution of linear system Consistent system Square linear system Inconsistent system
26,Portugal,217,1,Basic,Linear Algebra,Linear Systems,Solution of linear system Undetermined solution of linear system Consistent system Square linear system Inconsistent system
511,Portugal,218,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
511,Portugal,218,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,220,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,220,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
855,Italy,221,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
855,Italy,221,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
510,Portugal,221,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
510,Portugal,221,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,222,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,222,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
853,Italy,222,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
853,Italy,222,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
853,Italy,222,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
988,Portugal,223,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
988,Portugal,223,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
509,Portugal,223,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
509,Portugal,223,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
509,Portugal,223,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
511,Portugal,224,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
511,Portugal,224,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
509,Portugal,227,1,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
509,Portugal,227,1,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
414,Portugal,227,0,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
414,Portugal,227,0,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
852,Italy,227,0,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
852,Italy,227,0,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
988,Portugal,229,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
988,Portugal,229,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
511,Portugal,229,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
511,Portugal,229,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
511,Portugal,230,1,Basic,Linear Algebra,Linear Systems,Consistent system Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system
511,Portugal,230,1,Basic,Linear Algebra,Linear Systems,Consistent system Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system
406,Portugal,230,0,Basic,Linear Algebra,Linear Systems,Consistent system Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system
406,Portugal,230,0,Basic,Linear Algebra,Linear Systems,Consistent system Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system
852,Italy,233,0,Basic,Linear Algebra,Linear Systems,Solution of linear system Undetermined solution of linear system Consistent system Square linear system Inconsistent system
852,Italy,233,0,Basic,Linear Algebra,Linear Systems,Solution of linear system Undetermined solution of linear system Consistent system Square linear system Inconsistent system
855,Italy,234,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
855,Italy,234,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
855,Italy,239,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
855,Italy,239,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
511,Portugal,239,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
511,Portugal,239,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
511,Portugal,239,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
852,Italy,239,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
852,Italy,239,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,241,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,241,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,241,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
853,Italy,241,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
853,Italy,241,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
852,Italy,242,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
852,Italy,242,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
511,Portugal,243,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
511,Portugal,243,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,243,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
414,Portugal,243,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system Square linear system
853,Italy,244,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
853,Italy,244,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
511,Portugal,245,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
511,Portugal,245,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
511,Portugal,245,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
988,Portugal,246,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
988,Portugal,246,1,Basic,Linear Algebra,Linear Systems,Consistent system Inconsistent system Solution of linear system Undetermined solution of linear system
1049,Lithuania,253,0,Basic,Differentiation,Derivatives,Logarithmic rule Trigonometric rules
1049,Lithuania,253,0,Basic,Differentiation,Derivatives,Logarithmic rule Trigonometric rules
626,Italy,253,0,Basic,Differentiation,Derivatives,Logarithmic rule Trigonometric rules
626,Italy,253,0,Basic,Differentiation,Derivatives,Logarithmic rule Trigonometric rules
71,Portugal,253,0,Basic,Differentiation,Derivatives,Logarithmic rule Trigonometric rules
71,Portugal,253,0,Basic,Differentiation,Derivatives,Logarithmic rule Trigonometric rules
176,Italy,253,0,Basic,Differentiation,Derivatives,Logarithmic rule Trigonometric rules
176,Italy,253,0,Basic,Differentiation,Derivatives,Logarithmic rule Trigonometric rules
1044,Lithuania,257,1,Basic,Differentiation,Partial Differentiation,Gradient First order
1044,Lithuania,257,1,Basic,Differentiation,Partial Differentiation,Gradient First order
1044,Lithuania,258,1,Basic,Differentiation,Partial Differentiation,First order Gradient
1044,Lithuania,258,1,Basic,Differentiation,Partial Differentiation,First order Gradient
1044,Lithuania,258,1,Basic,Differentiation,Partial Differentiation,First order Gradient
1044,Lithuania,259,0,Basic,Differentiation,Partial Differentiation,First order Gradient
1044,Lithuania,259,0,Basic,Differentiation,Partial Differentiation,First order Gradient
1044,Lithuania,260,0,Basic,Differentiation,Partial Differentiation,First order Gradient
